UniversityID,SubsystemDescription,MonthNum,ml_risk,hist_asset_rate,hist_shock_rate,coverage
10,Controls and Instrumentation,1,0.27254826,0.5087912087912088,0.11538461538461539,910
10,Controls and Instrumentation,2,0.18814512,0.30143014301430143,0.12101210121012101,909
10,Controls and Instrumentation,3,0.1492187,0.2,0.08432432432432432,925
10,Controls and Instrumentation,4,0.12585919,0.17660044150110377,0.07505518763796909,906
10,Controls and Instrumentation,5,0.11567754,0.16780045351473924,0.07709750566893424,882
10,Controls and Instrumentation,6,0.09305426,0.132890365448505,0.07419712070874862,903
10,Controls and Instrumentation,7,0.083637655,0.11661166116611661,0.09020902090209021,909
10,Controls and Instrumentation,8,0.10626981,0.16976998904709747,0.09748083242059145,913
10,Controls and Instrumentation,9,0.17160502,0.28524590163934427,0.08633879781420765,915
10,Controls and Instrumentation,10,0.20545344,0.36086956521739133,0.1,920
10,Controls and Instrumentation,11,0.23045391,0.3967391304347826,0.08695652173913043,920
10,Controls and Instrumentation,12,0.2166533,0.36542669584245074,0.06345733041575492,914
10,Cooling Generation Systems,1,0.015887126,0.01763668430335097,0.001763668430335097,567
10,Cooling Generation Systems,2,0.024574634,0.028070175438596492,0.017543859649122806,570
10,Cooling Generation Systems,3,0.017049821,0.018739352640545145,0.005110732538330494,587
10,Cooling Generation Systems,4,0.021792136,0.025408348457350273,0.0,551
10,Cooling Generation Systems,5,0.016836239,0.016822429906542057,0.005607476635514018,535
10,Cooling Generation Systems,6,0.036244787,0.03985507246376811,0.0036231884057971015,552
10,Cooling Generation Systems,7,0.01084448,0.010830324909747292,0.0,554
10,Cooling Generation Systems,8,0.035411254,0.035398230088495575,0.005309734513274336,565
10,Cooling Generation Systems,9,0.024835322,0.028368794326241134,0.0017730496453900709,564
10,Cooling Generation Systems,10,0.021213688,0.02120141342756184,0.00530035335689046,566
10,Cooling Generation Systems,11,0.015857605,0.01936619718309859,0.0017605633802816902,568
10,Cooling Generation Systems,12,0.014172748,0.024778761061946902,0.0,565
10,Distribution Systems,1,0.02008759,0.022304832713754646,0.013382899628252789,1345
10,Distribution Systems,2,0.014917499,0.015613910574875798,0.061745919091554295,1409
